line_no,section_context,raw_line,days,time_ranges,course_codes,professors,groups,rooms
409,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CE (17),- **10:35-11:30 a.m**: CE3115 (Water Resources Engineering) Dr. Prabhakar (ECR 10),Monday,10:35-11:30,CE3115; ECR 10,Dr. Prabhakar,,ECR10
410,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CE (17),- **11:35 am- 12:30 pm**: CE3111 (Construction Technology) Dr. Deepti (ECR-10),Monday,11:35 am- 12:30 pm,CE3111; ECR-10,Dr. Deepti,,ECR10
411,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CE (17),- **1:35 -2:30p.m.**: CE3110 (Transportation Engineering) Dr. Jahnabi (ECR 10),Monday,1:35 -2,CE3110; ECR 10,Dr. Jahnabi,,ECR10
415,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ME (13),- **08:25 – 9:20 a.m.**: ME3113 (Design of Machine Elements) Dr. Kondaiah (ECR 12),Monday,08:25 – 9:20,ECR 12; ME3113,Dr. Kondaiah,,ECR12
416,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ME (13),- **09:25 – 10:20 a.m.**: ME3103 (Introduction to Robotics) /MT3102 (Robotics 1) Dr. Deep (ECR 12),Monday,09:25 – 10:20,ECR 12; ME3103; MT3102,Dr. Deep,,ECR12
417,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ME (13),- **10:35-11:30 a.m**: ME3102 (Measurement and Instrumentation)  Dr. Ravi (ECR 12),Monday,10:35-11:30,ECR 12; ME3102,Dr. Ravi,,ECR12
418,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ME (13),- **11:35 am- 12:30 pm**: ME3104 (Heat and Mass Transfer) Dr. Sebastian (ECR 12),Monday,11:35 am- 12:30 pm,ECR 12; ME3104,Dr. Sebastian,,ECR12
422,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: MT (20),- **11:35 am- 12:30 pm**: ME3101 (Manufacturing and Automated Processes) Dr. Abhijit (ECR 14),Monday,11:35 am- 12:30 pm,ECR 14; ME3101,Dr. Abhijit,,ECR14
423,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: MT (20),- **1:35 -2:30p.m.**: MT3105 (Power Electronics and Control System)Dr. Pavani (ECR 12),Monday,1:35 -2,ECR 12; MT3105,Dr. Pavani,,ECR12
427,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: NT (6),- **08:25 – 9:20 a.m.**: PH 3101 (Advanced Nanomaterials and Devices) Dr. Dibkar RC (ECR 16),Monday,08:25 – 9:20,ECR 16; PH 3101,Dr. Dibkar,,ECR16
428,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: NT (6),- **09:25 – 10:20 a.m.**: MA3115 (Computational Methods for PDE) Dr. Satyanarayan (ECR 11),Monday,09:25 – 10:20,ECR 11; MA3115,Dr. Satyanarayan,,ECR11
